Month,Credit_amount,Investment,Age,Sex,Status,Credit_history,Savings,Property,Housing,credit
less_than_20,low,greater_than_3,25_to_45,Male,A12,A32,A61,A121,A152,1
less_than_20,low,2_to_3,25_to_45,Male,A13,A34,A62,A123,A152,1
20_to_40,low,greater_than_3,25_to_45,Female,A11,A32,A61,A122,A152,0
20_to_40,medium,2_to_3,25_to_45,Male,A11,A32,A61,A124,A153,1
less_than_20,low,2_to_3,greater_than_45,Male,A13,A32,A62,A121,A152,1
20_to_40,low,greater_than_3,25_to_45,Male,A12,A34,A62,A124,A152,0
20_to_40,low,greater_than_3,less_than_25,Female,A11,A32,A61,A122,A151,0
less_than_20,low,greater_than_3,25_to_45,Male,A14,A32,A65,A122,A152,0
less_than_20,low,2_to_3,25_to_45,Male,A13,A34,A63,A123,A152,1
less_than_20,medium,less_than_2,25_to_45,Male,A12,A31,A62,A122,A152,0
20_to_40,low,greater_than_3,25_to_45,Male,A14,A32,A61,A122,A152,1
20_to_40,medium,greater_than_3,25_to_45,Male,A14,A32,A62,A123,A152,1
less_than_20,low,greater_than_3,25_to_45,Male,A11,A32,A61,A121,A152,0
20_to_40,low,2_to_3,25_to_45,Male,A14,A32,A61,A124,A153,1
less_than_20,low,2_to_3,25_to_45,Male,A13,A32,A61,A122,A151,1
less_than_20,low,greater_than_3,less_than_25,Male,A12,A33,A61,A121,A151,1
20_to_40,low,greater_than_3,greater_than_45,Male,A14,A32,A65,A122,A152,1
less_than_20,low,greater_than_3,25_to_45,Female,A11,A34,A61,A122,A152,1
less_than_20,low,2_to_3,25_to_45,Male,A11,A34,A61,A121,A152,1
20_to_40,medium,2_to_3,less_than_25,Female,A14,A34,A61,A122,A151,0
less_than_20,low,2_to_3,25_to_45,Male,A11,A32,A62,A122,A152,1
less_than_20,low,greater_than_3,25_to_45,Male,A14,A34,A65,A124,A153,1
20_to_40,medium,2_to_3,25_to_45,Male,A14,A34,A61,A124,A153,1
less_than_20,low,2_to_3,less_than_25,Female,A11,A32,A61,A121,A152,0
greater_than_40,medium,2_to_3,greater_than_45,Male,A11,A30,A61,A124,A153,0
20_to_40,low,2_to_3,less_than_25,Female,A14,A32,A62,A123,A152,1
less_than_20,low,greater_than_3,25_to_45,Female,A12,A32,A61,A121,A152,1
20_to_40,medium,2_to_3,25_to_45,Male,A12,A32,A61,A123,A152,1
less_than_20,low,greater_than_3,25_to_45,Female,A14,A34,A62,A123,A152,1
less_than_20,low,2_to_3,25_to_45,Male,A14,A34,A61,A121,A152,1
20_to_40,low,greater_than_3,25_to_45,Male,A11,A32,A61,A123,A151,0
less_than_20,low,2_to_3,25_to_45,Male,A11,A32,A61,A121,A152,1
20_to_40,low,2_to_3,25_to_45,Male,A12,A32,A61,A123,A152,1
less_than_20,low,2_to_3,25_to_45,Female,A12,A32,A62,A123,A151,0
less_than_20,low,greater_than_3,25_to_45,Male,A14,A33,A61,A121,A151,1
20_to_40,low,greater_than_3,25_to_45,Male,A14,A32,A62,A122,A152,1
20_to_40,low,greater_than_3,25_to_45,Male,A14,A32,A65,A123,A152,1
20_to_40,low,2_to_3,25_to_45,Male,A13,A34,A61,A123,A151,0
less_than_20,low,greater_than_3,greater_than_45,Female,A11,A32,A65,A122,A152,1
less_than_20,low,2_to_3,25_to_45,Female,A12,A34,A61,A122,A152,1
greater_than_40,medium,greater_than_3,25_to_45,Male,A11,A32,A61,A124,A153,0
less_than_20,low,less_than_2,25_to_45,Female,A13,A32,A61,A122,A152,1
less_than_20,low,less_than_2,less_than_25,Male,A12,A32,A61,A121,A151,0
20_to_40,low,greater_than_3,greater_than_45,Male,A14,A33,A61,A124,A153,1
20_to_40,medium,greater_than_3,25_to_45,Male,A11,A32,A65,A122,A152,0
less_than_20,low,2_to_3,25_to_45,Male,A13,A32,A61,A121,A152,0
less_than_20,low,greater_than_3,greater_than_45,Male,A14,A34,A61,A121,A152,1
20_to_40,low,greater_than_3,25_to_45,Male,A11,A33,A61,A121,A153,0
20_to_40,low,greater_than_3,25_to_45,Female,A14,A34,A61,A123,A152,1
20_to_40,low,2_to_3,25_to_45,Male,A14,A32,A61,A123,A152,1
less_than_20,low,greater_than_3,less_than_25,Female,A11,A31,A61,A121,A152,0
greater_than_40,medium,2_to_3,25_to_45,Male,A14,A34,A65,A124,A153,1
less_than_20,low,greater_than_3,less_than_25,Female,A14,A34,A65,A121,A152,1
less_than_20,low,2_to_3,25_to_45,Male,A14,A31,A63,A122,A152,1
greater_than_40,medium,less_than_2,25_to_45,Male,A11,A32,A61,A121,A152,0
less_than_20,low,greater_than_3,25_to_45,Male,A12,A34,A62,A123,A152,1
less_than_20,low,greater_than_3,greater_than_45,Female,A12,A32,A61,A122,A152,1
less_than_20,low,2_to_3,less_than_25,Male,A12,A32,A61,A123,A152,0
less_than_20,low,2_to_3,25_to_45,Female,A12,A30,A62,A123,A152,0
20_to_40,medium,less_than_2,25_to_45,Female,A14,A30,A65,A122,A152,0
20_to_40,low,2_to_3,25_to_45,Male,A11,A31,A61,A123,A152,0
less_than_20,low,2_to_3,25_to_45,Male,A12,A34,A61,A121,A152,0
20_to_40,low,greater_than_3,greater_than_45,Male,A11,A32,A65,A124,A153,1
20_to_40,low,greater_than_3,less_than_25,Male,A11,A31,A61,A123,A151,0
less_than_20,low,2_to_3,25_to_45,Female,A13,A33,A61,A122,A152,1
20_to_40,high,less_than_2,25_to_45,Male,A12,A32,A65,A124,A153,0
20_to_40,low,greater_than_3,25_to_45,Male,A12,A33,A65,A122,A152,1
20_to_40,low,2_to_3,less_than_25,Female,A12,A33,A62,A122,A151,1
less_than_20,low,2_to_3,25_to_45,Male,A11,A32,A61,A123,A152,0
20_to_40,low,2_to_3,25_to_45,Male,A14,A34,A64,A123,A152,1
greater_than_40,low,greater_than_3,25_to_45,Male,A12,A32,A65,A123,A152,1
greater_than_40,medium,2_to_3,25_to_45,Female,A11,A32,A61,A123,A152,0
20_to_40,low,greater_than_3,less_than_25,Female,A11,A32,A61,A121,A151,0
20_to_40,medium,2_to_3,25_to_45,Male,A14,A34,A61,A123,A152,1
20_to_40,medium,2_to_3,25_to_45,Female,A14,A32,A65,A122,A151,1
less_than_20,low,greater_than_3,less_than_25,Female,A11,A32,A61,A122,A152,1
less_than_20,low,greater_than_3,25_to_45,Male,A12,A32,A61,A123,A152,1
less_than_20,low,2_to_3,less_than_25,Female,A14,A34,A61,A123,A152,1
less_than_20,low,2_to_3,25_to_45,Female,A12,A32,A61,A121,A152,1
20_to_40,low,2_to_3,25_to_45,Female,A14,A34,A65,A123,A152,1
20_to_40,low,greater_than_3,25_to_45,Male,A12,A34,A61,A123,A152,0
20_to_40,low,greater_than_3,25_to_45,Male,A14,A32,A61,A123,A152,1
less_than_20,low,2_to_3,25_to_45,Male,A12,A34,A61,A121,A152,0
less_than_20,low,less_than_2,greater_than_45,Male,A12,A34,A61,A121,A152,1
less_than_20,low,greater_than_3,25_to_45,Female,A14,A32,A61,A121,A151,1
20_to_40,low,greater_than_3,25_to_45,Male,A12,A32,A61,A124,A151,0
less_than_20,low,greater_than_3,greater_than_45,Female,A14,A32,A65,A124,A153,1
less_than_20,low,less_than_2,less_than_25,Female,A11,A32,A61,A121,A151,0
less_than_20,low,2_to_3,25_to_45,Male,A11,A34,A61,A121,A151,1
less_than_20,low,greater_than_3,less_than_25,Male,A11,A32,A61,A122,A152,1
less_than_20,low,greater_than_3,greater_than_45,Male,A11,A32,A61,A121,A152,0
less_than_20,low,2_to_3,greater_than_45,Male,A11,A34,A61,A122,A152,0
less_than_20,low,greater_than_3,greater_than_45,Female,A11,A34,A61,A121,A152,1
20_to_40,low,greater_than_3,25_to_45,Female,A12,A33,A65,A123,A151,1
20_to_40,low,greater_than_3,25_to_45,Female,A14,A32,A64,A121,A152,1
20_to_40,low,2_to_3,less_than_25,Female,A12,A32,A61,A122,A151,0
20_to_40,low,greater_than_3,25_to_45,Male,A11,A31,A65,A123,A152,0
less_than_20,low,less_than_2,25_to_45,Female,A12,A31,A62,A122,A152,0
20_to_40,low,greater_than_3,less_than_25,Female,A11,A32,A61,A123,A151,0
20_to_40,low,less_than_2,25_to_45,Male,A12,A30,A61,A121,A152,0
less_than_20,low,2_to_3,25_to_45,Male,A14,A34,A61,A122,A152,0
20_to_40,low,less_than_2,25_to_45,Male,A14,A33,A61,A124,A153,1
less_than_20,low,less_than_2,25_to_45,Female,A12,A32,A61,A121,A152,1
less_than_20,low,greater_than_3,25_to_45,Female,A12,A32,A61,A122,A152,0
20_to_40,low,greater_than_3,25_to_45,Female,A12,A31,A61,A124,A153,0
20_to_40,low,greater_than_3,25_to_45,Female,A14,A32,A61,A123,A152,0
less_than_20,low,greater_than_3,less_than_25,Female,A13,A32,A61,A122,A152,1
20_to_40,low,greater_than_3,less_than_25,Male,A11,A31,A63,A121,A152,1
20_to_40,low,2_to_3,greater_than_45,Male,A14,A34,A61,A121,A152,1
20_to_40,low,greater_than_3,greater_than_45,Female,A12,A32,A62,A124,A153,0
less_than_20,low,greater_than_3,25_to_45,Male,A14,A32,A61,A121,A152,1
less_than_20,low,greater_than_3,25_to_45,Male,A14,A32,A65,A124,A153,1
less_than_20,low,greater_than_3,less_than_25,Female,A11,A32,A62,A122,A152,0
less_than_20,low,less_than_2,greater_than_45,Female,A13,A32,A62,A124,A153,0
20_to_40,low,greater_than_3,25_to_45,Female,A11,A32,A64,A123,A152,1
20_to_40,low,less_than_2,less_than_25,Female,A11,A31,A61,A123,A151,1
less_than_20,low,greater_than_3,less_than_25,Female,A14,A33,A61,A121,A152,0
greater_than_40,high,2_to_3,greater_than_45,Male,A12,A30,A65,A123,A152,1
greater_than_40,medium,2_to_3,25_to_45,Male,A12,A33,A65,A124,A153,1
less_than_20,low,less_than_2,25_to_45,Male,A11,A34,A61,A121,A151,1
20_to_40,low,2_to_3,less_than_25,Female,A12,A32,A62,A123,A151,0
less_than_20,low,greater_than_3,greater_than_45,Male,A14,A32,A61,A121,A152,1
20_to_40,low,2_to_3,25_to_45,Male,A12,A34,A61,A122,A152,1
less_than_20,low,2_to_3,25_to_45,Male,A14,A34,A61,A122,A152,0
greater_than_40,low,greater_than_3,25_to_45,Male,A14,A32,A65,A121,A152,0
less_than_20,low,greater_than_3,less_than_25,Female,A11,A32,A61,A123,A151,1
less_than_20,low,greater_than_3,greater_than_45,Male,A11,A32,A61,A124,A153,0
less_than_20,low,greater_than_3,25_to_45,Male,A14,A32,A65,A123,A152,1
less_than_20,low,2_to_3,25_to_45,Male,A13,A32,A61,A121,A152,1
less_than_20,low,2_to_3,25_to_45,Male,A12,A31,A62,A124,A152,0
greater_than_40,low,greater_than_3,25_to_45,Male,A14,A34,A63,A121,A152,1
less_than_20,low,less_than_2,greater_than_45,Male,A14,A32,A65,A121,A152,1
20_to_40,low,2_to_3,25_to_45,Female,A11,A32,A61,A123,A152,1
less_than_20,low,greater_than_3,25_to_45,Male,A11,A31,A61,A123,A152,0
less_than_20,low,greater_than_3,less_than_25,Male,A12,A32,A65,A122,A152,1
less_than_20,low,2_to_3,less_than_25,Female,A14,A32,A61,A123,A151,0
20_to_40,low,2_to_3,25_to_45,Female,A12,A32,A61,A123,A152,0
less_than_20,low,greater_than_3,greater_than_45,Male,A14,A32,A61,A122,A152,1
20_to_40,low,greater_than_3,25_to_45,Female,A14,A32,A63,A123,A152,1
greater_than_40,high,2_to_3,less_than_25,Male,A14,A33,A61,A123,A152,1
less_than_20,low,greater_than_3,25_to_45,Female,A14,A32,A61,A123,A152,1
greater_than_40,low,2_to_3,25_to_45,Male,A11,A33,A61,A122,A152,0
less_than_20,low,greater_than_3,25_to_45,Female,A11,A32,A61,A121,A152,0
less_than_20,low,greater_than_3,25_to_45,Male,A12,A32,A61,A123,A152,1
less_than_20,low,2_to_3,25_to_45,Male,A14,A32,A62,A122,A152,0
20_to_40,low,greater_than_3,25_to_45,Male,A14,A34,A61,A123,A152,1
less_than_20,low,greater_than_3,25_to_45,Male,A11,A34,A61,A122,A152,1
20_to_40,medium,greater_than_3,25_to_45,Male,A14,A33,A65,A123,A151,0
20_to_40,low,2_to_3,25_to_45,Male,A11,A30,A61,A121,A152,1
less_than_20,low,2_to_3,25_to_45,Female,A14,A32,A63,A122,A152,0
20_to_40,low,greater_than_3,25_to_45,Male,A13,A32,A61,A124,A153,0
less_than_20,low,greater_than_3,25_to_45,Male,A11,A32,A61,A123,A151,0
greater_than_40,medium,greater_than_3,greater_than_45,Male,A11,A32,A61,A124,A153,1
less_than_20,low,greater_than_3,25_to_45,Male,A12,A32,A61,A122,A152,0
20_to_40,low,greater_than_3,25_to_45,Male,A11,A32,A61,A121,A152,0
20_to_40,medium,2_to_3,25_to_45,Male,A12,A33,A62,A123,A152,0
20_to_40,low,greater_than_3,25_to_45,Male,A14,A34,A61,A123,A152,1
less_than_20,low,less_than_2,less_than_25,Male,A11,A32,A61,A124,A153,1
less_than_20,low,greater_than_3,25_to_45,Male,A12,A32,A61,A123,A152,0
greater_than_40,high,greater_than_3,25_to_45,Male,A14,A32,A65,A123,A152,1
20_to_40,low,2_to_3,25_to_45,Female,A12,A30,A61,A123,A152,1
less_than_20,medium,2_to_3,25_to_45,Male,A12,A34,A61,A124,A152,1
less_than_20,low,2_to_3,less_than_25,Male,A13,A32,A61,A121,A151,1
less_than_20,low,greater_than_3,less_than_25,Male,A11,A32,A65,A123,A152,0
20_to_40,low,greater_than_3,greater_than_45,Male,A14,A32,A61,A121,A152,1
less_than_20,low,greater_than_3,25_to_45,Male,A12,A33,A61,A122,A152,1
less_than_20,low,2_to_3,greater_than_45,Female,A13,A34,A61,A122,A152,1
20_to_40,medium,greater_than_3,25_to_45,Male,A14,A34,A61,A124,A152,1
20_to_40,low,greater_than_3,25_to_45,Male,A12,A31,A64,A123,A152,1
greater_than_40,low,less_than_2,25_to_45,Female,A14,A31,A61,A121,A152,1
less_than_20,low,2_to_3,25_to_45,Male,A11,A34,A61,A122,A151,0
20_to_40,low,greater_than_3,greater_than_45,Male,A13,A34,A61,A122,A152,1
20_to_40,low,2_to_3,25_to_45,Male,A14,A34,A62,A122,A152,1
20_to_40,medium,2_to_3,25_to_45,Male,A14,A32,A62,A123,A152,1
greater_than_40,high,2_to_3,25_to_45,Male,A14,A32,A61,A122,A152,1
less_than_20,low,less_than_2,less_than_25,Male,A14,A34,A63,A123,A152,1
20_to_40,low,greater_than_3,25_to_45,Male,A14,A33,A63,A121,A152,0
20_to_40,low,greater_than_3,25_to_45,Female,A14,A34,A61,A123,A151,1
20_to_40,medium,greater_than_3,25_to_45,Male,A14,A34,A61,A123,A152,1
greater_than_40,medium,2_to_3,less_than_25,Male,A12,A32,A62,A123,A152,0
20_to_40,low,greater_than_3,greater_than_45,Male,A11,A32,A61,A121,A151,1
less_than_20,low,2_to_3,25_to_45,Female,A14,A32,A61,A121,A152,1
less_than_20,low,less_than_2,greater_than_45,Female,A14,A32,A61,A124,A152,1
less_than_20,low,greater_than_3,25_to_45,Male,A14,A32,A65,A124,A153,1
less_than_20,low,greater_than_3,25_to_45,Male,A14,A33,A61,A121,A152,1
20_to_40,medium,2_to_3,greater_than_45,Male,A14,A34,A61,A124,A153,1
20_to_40,medium,less_than_2,25_to_45,Male,A12,A33,A62,A122,A152,1
greater_than_40,medium,greater_than_3,25_to_45,Male,A14,A32,A65,A124,A153,1
less_than_20,low,greater_than_3,25_to_45,Male,A13,A34,A65,A122,A152,1
20_to_40,low,greater_than_3,25_to_45,Male,A12,A33,A62,A124,A153,1
less_than_20,low,2_to_3,25_to_45,Male,A14,A32,A62,A123,A152,1
less_than_20,low,less_than_2,25_to_45,Male,A11,A32,A64,A122,A152,1
less_than_20,low,2_to_3,25_to_45,Male,A11,A34,A61,A122,A152,1
less_than_20,low,2_to_3,25_to_45,Female,A12,A32,A62,A121,A152,1
20_to_40,low,2_to_3,25_to_45,Male,A12,A32,A62,A123,A152,1
less_than_20,low,less_than_2,25_to_45,Male,A11,A34,A65,A121,A152,1
20_to_40,low,greater_than_3,25_to_45,Male,A14,A32,A61,A123,A152,1
less_than_20,low,2_to_3,greater_than_45,Male,A14,A32,A63,A122,A151,1
less_than_20,low,greater_than_3,25_to_45,Male,A12,A32,A61,A121,A152,1
less_than_20,low,less_than_2,25_to_45,Female,A14,A34,A61,A122,A152,1
less_than_20,low,greater_than_3,less_than_25,Male,A14,A34,A61,A123,A152,1
less_than_20,low,greater_than_3,25_to_45,Male,A13,A32,A61,A123,A151,1
less_than_20,low,greater_than_3,25_to_45,Female,A14,A32,A63,A123,A151,0
greater_than_40,medium,greater_than_3,greater_than_45,Male,A11,A34,A61,A124,A153,0
20_to_40,low,greater_than_3,greater_than_45,Female,A13,A32,A62,A124,A153,1
20_to_40,low,greater_than_3,25_to_45,Male,A12,A33,A62,A122,A152,1
20_to_40,low,greater_than_3,25_to_45,Female,A12,A32,A61,A122,A152,1
less_than_20,medium,less_than_2,25_to_45,Female,A14,A32,A63,A124,A153,1
greater_than_40,medium,2_to_3,less_than_25,Male,A12,A32,A62,A122,A152,0
less_than_20,low,greater_than_3,25_to_45,Female,A12,A30,A61,A122,A151,0
less_than_20,low,greater_than_3,25_to_45,Female,A12,A32,A61,A121,A152,1
less_than_20,low,2_to_3,25_to_45,Male,A12,A32,A61,A121,A152,1
less_than_20,low,greater_than_3,25_to_45,Male,A14,A34,A63,A122,A152,1
less_than_20,low,greater_than_3,25_to_45,Female,A11,A31,A61,A124,A153,0
20_to_40,low,greater_than_3,greater_than_45,Male,A14,A32,A65,A121,A152,1
less_than_20,low,greater_than_3,25_to_45,Male,A11,A34,A61,A121,A152,1
greater_than_40,high,greater_than_3,25_to_45,Male,A12,A32,A61,A124,A152,0
20_to_40,medium,less_than_2,greater_than_45,Male,A14,A34,A65,A123,A152,1
20_to_40,low,2_to_3,25_to_45,Male,A14,A34,A65,A123,A152,1
less_than_20,low,greater_than_3,25_to_45,Male,A14,A32,A61,A124,A153,1
20_to_40,low,2_to_3,25_to_45,Male,A13,A34,A65,A123,A152,1
20_to_40,medium,2_to_3,25_to_45,Male,A12,A30,A62,A123,A152,1
less_than_20,low,greater_than_3,25_to_45,Male,A13,A30,A61,A123,A152,0
less_than_20,low,greater_than_3,less_than_25,Female,A12,A31,A64,A122,A151,0
less_than_20,low,greater_than_3,less_than_25,Female,A11,A32,A61,A121,A152,0
less_than_20,low,greater_than_3,greater_than_45,Female,A12,A32,A63,A121,A152,1
20_to_40,low,2_to_3,less_than_25,Female,A14,A32,A61,A121,A151,0
less_than_20,low,2_to_3,25_to_45,Female,A14,A34,A64,A121,A152,1
less_than_20,low,2_to_3,greater_than_45,Male,A14,A34,A63,A122,A152,1
less_than_20,low,greater_than_3,25_to_45,Female,A11,A32,A61,A123,A151,0
greater_than_40,medium,greater_than_3,greater_than_45,Female,A12,A31,A61,A124,A151,0
20_to_40,low,2_to_3,25_to_45,Male,A13,A34,A64,A121,A152,1
20_to_40,medium,less_than_2,25_to_45,Male,A12,A33,A61,A123,A152,1
20_to_40,low,2_to_3,less_than_25,Male,A11,A32,A61,A121,A151,0
less_than_20,low,greater_than_3,25_to_45,Female,A12,A32,A61,A121,A152,1
20_to_40,low,2_to_3,25_to_45,Female,A14,A32,A64,A123,A151,1
less_than_20,low,less_than_2,25_to_45,Female,A14,A34,A61,A121,A152,1
20_to_40,low,2_to_3,25_to_45,Female,A12,A31,A65,A124,A152,1
20_to_40,high,less_than_2,less_than_25,Female,A12,A32,A61,A123,A151,0
less_than_20,low,2_to_3,25_to_45,Male,A11,A32,A62,A123,A152,1
less_than_20,medium,less_than_2,25_to_45,Male,A14,A34,A61,A124,A152,1
20_to_40,low,greater_than_3,25_to_45,Female,A12,A30,A62,A123,A151,0
20_to_40,low,2_to_3,25_to_45,Male,A11,A31,A62,A123,A152,1
less_than_20,low,greater_than_3,less_than_25,Male,A12,A31,A61,A121,A152,1
20_to_40,low,greater_than_3,25_to_45,Male,A14,A32,A65,A122,A152,1
20_to_40,low,greater_than_3,less_than_25,Male,A11,A31,A63,A121,A152,1
20_to_40,high,greater_than_3,25_to_45,Male,A11,A34,A65,A122,A152,1
less_than_20,low,2_to_3,25_to_45,Male,A11,A34,A61,A122,A152,1
less_than_20,low,less_than_2,less_than_25,Female,A11,A32,A61,A123,A151,1
less_than_20,low,2_to_3,25_to_45,Female,A11,A32,A61,A121,A152,0
